Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
602,2016,17,Assam,Darrang,6233.0,66.47,67.75,51.53,1527.0,16.28,16.6,12.62,0.0,17.24,17.58,13.37,9377.0,101.92,77.52
602,2017,17,Assam,Darrang,6365.0,62.24,68.59,52.3,2034.0,19.89,21.92,16.71,0.0,17.87,19.69,15.01,10226.0,110.2,84.02
603,2016,17,Assam,Dibrugarh,8059.0,66.47,54.82,50.21,1974.0,16.28,13.43,12.3,0.0,17.25,14.23,13.03,12125.0,82.47,75.54
603,2017,17,Assam,Dibrugarh,8231.0,62.24,53.94,49.81,2630.0,19.89,17.23,15.91,0.0,17.87,15.48,14.3,13224.0,86.65,80.02
604,2016,17,Assam,Goalpara,6110.0,66.46,84.34,47.7,1498.0,16.29,20.68,11.69,0.0,17.25,21.89,12.38,9194.0,126.91,71.77
604,2017,17,Assam,Goalpara,6239.0,62.24,86.12,48.1,1994.0,19.89,27.52,15.37,0.0,17.87,24.72,13.81,10024.0,138.37,77.28
605,2016,17,Assam,Kamrup,7752.0,66.46,73.68,45.15,1900.0,16.29,18.06,11.07,0.0,17.25,19.12,11.72,11664.0,110.86,67.94
605,2017,17,Assam,Kamrup,7917.0,62.24,79.45,49.43,2530.0,19.89,25.39,15.8,0.0,17.87,22.81,14.19,12720.0,127.65,79.41
606,2016,17,Assam,Karbi Anglong,3159.0,66.46,24.78,14.38,774.0,16.28,6.07,3.52,0.0,17.25,6.43,3.73,4753.0,37.29,21.63
606,2017,17,Assam,Karbi Anglong,3226.0,62.23,25.31,14.54,1032.0,19.91,8.1,4.65,0.0,17.86,7.26,4.17,5184.0,40.67,23.36
607,2016,17,Assam,Lakhimpur,6370.0,66.46,68.33,35.54,1560.0,16.28,16.73,8.7,0.0,17.26,17.74,9.23,9584.0,102.81,53.48
607,2017,17,Assam,Lakhimpur,6506.0,62.24,68.68,33.39,2079.0,19.89,21.95,10.67,0.0,17.87,19.72,9.59,10453.0,110.35,53.64
608,2016,17,Assam,North Cachar Hil,3608.0,66.48,85.46,65.95,883.0,16.27,20.91,16.14,936.0,17.25,22.17,17.11,5427.0,128.54,99.2
608,2017,17,Assam,North Cachar Hil,3685.0,62.24,87.28,67.67,1178.0,19.9,27.9,21.63,1058.0,17.87,25.06,19.43,5921.0,140.24,108.73
609,2016,17,Assam,Nagaon,8059.0,66.48,39.29,23.68,1972.0,16.27,9.61,5.79,2092.0,17.26,10.2,6.15,12123.0,59.1,35.62
609,2017,17,Assam,Nagaon,8231.0,62.24,40.13,23.42,2630.0,19.89,12.82,7.48,2363.0,17.87,11.52,6.72,13224.0,64.47,37.62
610,2016,17,Assam,Sibsagar,3608.0,66.48,27.22,23.01,883.0,16.27,6.66,5.63,936.0,17.25,7.06,5.97,5427.0,40.94,34.61
610,2017,17,Assam,Sibsagar,3685.0,62.24,28.85,24.06,1178.0,19.9,9.22,7.69,1058.0,17.87,8.28,6.91,5921.0,46.35,38.66
