Dist Code,Year,State Code,State Name,Dist Name,TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent)
954,2016,15,Jharkhand,Gadva Garhwa,428.83,191.16,26.84,22.99,9.73,2.96,61.46,44.2,66.43,91.38,137.56
954,2017,15,Jharkhand,Gadva Garhwa,428.83,191.16,25.99,21.36,9.71,2.96,64.34,38.04,71.65,88.7,123.79
955,2016,15,Jharkhand,Khodrama Koderma,157.0,59.35,8.27,9.78,3.55,2.0,22.5,37.11,13.44,13.77,102.46
955,2017,15,Jharkhand,Khodrama Koderma,157.0,59.35,8.88,10.28,3.56,2.08,34.1,29.04,8.83,14.1,159.7
956,2016,2,Bihar,Lakhisarai,128.6,13.45,7.01,15.32,0.69,0.05,6.26,34.28,51.12,71.34,139.55
956,2017,2,Bihar,Lakhisarai,128.6,13.45,7.01,15.26,0.69,0.05,6.25,29.26,56.21,77.29,137.5
957,2016,15,Jharkhand,Pakund Pakur,180.56,14.68,10.89,15.98,9.57,6.9,33.13,36.77,48.75,59.42,121.89
957,2017,15,Jharkhand,Pakund Pakur,180.56,14.68,10.89,15.92,10.49,6.91,32.7,40.17,44.9,94.94,211.44
958,2016,2,Bihar,Sheikapura,62.08,100.86084437890429,1.02,10.65,0.22,16.479833968248293,1.61,5.28,43.0,54.71,127.23
958,2017,2,Bihar,Sheikapura,62.08,0.0,1.02,10.65,0.22,0.0,1.6,1.26,47.01,60.65,129.02
960,2016,2,Bihar,Sheohar,43.48,0.3312578212755497,0.41,11.41,0.02,16.479833968248293,0.82,4.01,23.14,45.4,196.2
